기능,HTTP 메서드,API Path,Request,Response
찜 추가,POST,/wishlist,"RequestWishlistCreate (https://www.notion.so/RequestWishlistCreate-2ed9119109f1809f9373df3bc10ad329?pvs=21) ","ResponseWishlistCreate (https://www.notion.so/ResponseWishlistCreate-2ed9119109f180e78e21e6653040dfbb?pvs=21) "
찜 목록 조회,GET,/wishlist,"Authorization: Bearer {access_token}
","ResponseWishlist (https://www.notion.so/ResponseWishlist-2ed9119109f180e2b983f5ad17d4b777?pvs=21) "
찜 삭제,DELETE,/wishlist/{wishlistItemId},"Authorization: Bearer {access_token}
",
상품 기준 찜 여부 확인,GET,/wishlist/check,,"ResponseWishlistCheck (https://www.notion.so/ResponseWishlistCheck-2ed9119109f180d599ddeb7559be4f68?pvs=21) "
