code,단위 시스템,Jira 링크,기능,설명,담당자,개발 우선순위,와이어프레임 링크,기능명세,영역,디자인 수용여부,개발 수용여부,비고
PAGE-812,페이지,,확대 쇼핑 뷰,"- 상품 이미지와 가격 정보를 화면의 80% 이상으로 확대
- 공유 코드 발급: 클릭 시 4자리 숫자를 크게 표시 및 TTS 안내",서해령,보통,,상세,,,,
PAGE-813,페이지,,통합 장바구니,"- 각 쇼핑몰의 물건을 한 리스트에 노출하되, 몰별 구분선을 굵게 표시

- 삭제/수량 조절 버튼을 한 화면에 최대 2개만 배치해 오클릭 방지",서해령,보통,,상세,,,,
PAGE-814,페이지,,간편결제,"- 화면 전체를 활용한 대형 4자리 숫자 패드 제공
- 각 쇼핑사이트 2차 결제 비밀번호 음성으로 인식
- 입력 시마다 큼직한 시각적 효과(깜빡임 등)와 음성 안내 병행",서해령,보통,,상세,,,,
PAGE-815,페이지,,포커스 가이드,"- 보호자가 일반 모드에서 특정 위치를 찍어주면, 해당 영역으로 자동 스크롤 및 외곽선 강조",서해령,중요,,,,,,
PAGE-816,페이지,,User 1:1 공유 화면(S형),"- user1의 공유화면을 user2가 함께 원격 제어.
- user1 의 음성대화 중 마지막 키워드 기준으로 관련 설명 간단 정리.
- user2 가 음성으로 남기면, text 변환해서 정리됨.",서해령,중요,,상세,,,,
MCP-01,MCP_app,,,"음성 녹음, V키 핫키로 마이크 녹음 시작/종료",김민찬,중요,,기능,,,,
MCP-02,MCP_app,,,"음성 재생, TTS 오디오 재생",김민찬,중요,,기능,,,,
MCP-03,MCP_app,,,"브라우저 실행, 앱 시작 시 Chrome CDP 활성화 실행",김재환,중요,,기능,,,,
MCP-04,MCP_app,,,"브라우저 제어, MCP 도구로 웹 페이지 조작",김재환,중요,,기능,,,,
MCP-05,MCP_app,,,"서버 통신, WebSocket으로 AI 서버와 실시간 통신",김민찬,중요,,기능,,,,
MCP-06,MCP_app,,,"세션 관리, 현재 작업 상태 추적",김민찬,중요,,기능,,,,
MCP-07,MCP_app,,,"상태 표시, 최소 UI로 현재 상태 표시",김민찬,중요,,기능,,,,
MCP-08,MCP_app,,,"테스트, 콘솔에서 직접 텍스트 입력하여 AI 서버로 전송",김재환,중요,,기능,,,,
MCP-09,MCP_app,,,WS 게이트웨이: 세션 생성/상태(status) 송수신/재연결 정책,김민찬,중요,,기능,,,,
AI-01,ASR,,,WebSocket으로 로컬의 audio_chunk 수신 및 버퍼링,김민찬,중요,,기능,,,,
AI-02,ASR,,,Faster-Whisper(turbo)로 실시간 ASR 처리(청크 단위),김민찬,중요,,기능,,,,
AI-03,ASR,,,ASR 결과를 asr_result로 스트리밍 반환,김민찬,중요,,기능,,,,
AI-04,LLM,,,의도 분석(Intent): 검색/비교/장바구니/결제 등 분류,김재환,중요,,기능,,,,
AI-05,LLM,,,텍스트 → Playwright MCP의 브라우저 실행용 tool_calls 생성,김재환,중요,,기능,,,,
AI-06,LLM,,,"쇼핑몰(쿠팡/네이버/11번가 등)별로 회원가입·결제 같은 복잡한 작업을 자동화하기 위해, 서버는 ‘플로우(step) 정의서’를 로딩한다.
각 step에는 (1) 실행할 MCP 액션, (2) 성공/실패 판정 기준(validation), (3) 실패 시 대체 동작 또는 사용자 안내(fallback)가 포함된다.",김재환,,,,,,,
AI-07,LLM,,,실행 결과 기반 다음 질문/확인 멘트 생성(대화형),김재환,,,,,,,
AI-08,LLM,,,“일반 명령 vs 회원가입/결제” 플로우 위임 판단,김재환,,,,,,,
AI-11,TTS,,,텍스트 → 음성 생성(TTS) 후 tts_chunk로 스트리밍 전송. 공급자/모델/파라미터는 단일로 고정해 환경 간 품질·지연 일관성 보장.,김민찬,,,기능,,,,
,TTS,,,,,,,,,,,
AI-09,OCR,,,CAPTCHA/키패드 영역 검출과 같이 결제 영역에서의 숫자 매핑 지원,하주형,,,기능,,,,
AI-10,OCR,,,상품 이미지에서 텍스트/시각 특징 추출(색/형태/라벨),하주형,,,기능,,,,
,,결제전 OCR이후 정보 제공등 복합 단위일 수 있어서 추가로 고려후 단위시스템 지정 필요,,결제/회원가입 전 최종 확인 단계 강제 삽입,,,,,,,,
,,세션 위치와 저장방식등이 어디인지 잘몰라서 추가로 단위시스템 지정 필요,,세션 상태 저장(사이트/진행단계/검색기록) + 대명사 참조,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
